[2025-09-14 16:22:27,717] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2025-09-14 16:25:51,829 Stage: Warm Up | Epoch: 1 | Iter: 4400 | Total Loss: 0.013911 | Recon Loss: 0.012812 | Commit Loss: 0.002199 | Perplexity: 627.729349
2025-09-14 16:25:59,949 current_lr 0.000184 at iteration 4600
2025-09-14 16:25:59,986 Stage: Warm Up | Epoch: 1 | Iter: 4600 | Total Loss: 0.012917 | Recon Loss: 0.011865 | Commit Loss: 0.002103 | Perplexity: 630.886494
2025-09-14 16:26:08,121 current_lr 0.000192 at iteration 4800
2025-09-14 16:26:08,160 Stage: Warm Up | Epoch: 1 | Iter: 4800 | Total Loss: 0.013090 | Recon Loss: 0.012099 | Commit Loss: 0.001984 | Perplexity: 631.180169
2025-09-14 16:26:16,373 current_lr 0.000200 at iteration 5000
2025-09-14 16:26:16,414 Stage: Warm Up | Epoch: 1 | Iter: 5000 | Total Loss: 0.012869 | Recon Loss: 0.011929 | Commit Loss: 0.001880 | Perplexity: 626.771963
2025-09-14 16:26:24,853 Stage: Train 0.5 | Epoch: 1 | Iter: 5200 | Total Loss: 0.012543 | Recon Loss: 0.011653 | Commit Loss: 0.001781 | Perplexity: 630.423522
2025-09-14 16:26:33,075 Stage: Train 0.5 | Epoch: 1 | Iter: 5400 | Total Loss: 0.012639 | Recon Loss: 0.011762 | Commit Loss: 0.001753 | Perplexity: 627.607653
2025-09-14 16:26:41,253 Stage: Train 0.5 | Epoch: 1 | Iter: 5600 | Total Loss: 0.011313 | Recon Loss: 0.010495 | Commit Loss: 0.001637 | Perplexity: 629.011364
2025-09-14 16:26:49,491 Stage: Train 0.5 | Epoch: 1 | Iter: 5800 | Total Loss: 0.011090 | Recon Loss: 0.010266 | Commit Loss: 0.001648 | Perplexity: 622.881168
2025-09-14 16:26:57,715 Stage: Train 0.5 | Epoch: 1 | Iter: 6000 | Total Loss: 0.011278 | Recon Loss: 0.010491 | Commit Loss: 0.001574 | Perplexity: 624.296182
Trainning Epoch:   1%|          | 2/165 [04:11<5:41:18, 125.64s/it]2025-09-14 16:27:05,968 Stage: Train 0.5 | Epoch: 2 | Iter: 6200 | Total Loss: 0.010464 | Recon Loss: 0.009684 | Commit Loss: 0.001561 | Perplexity: 634.233237
2025-09-14 16:27:14,117 Stage: Train 0.5 | Epoch: 2 | Iter: 6400 | Total Loss: 0.010706 | Recon Loss: 0.009930 | Commit Loss: 0.001552 | Perplexity: 635.919730
2025-09-14 16:27:22,292 Stage: Train 0.5 | Epoch: 2 | Iter: 6600 | Total Loss: 0.009826 | Recon Loss: 0.009035 | Commit Loss: 0.001582 | Perplexity: 639.732028
2025-09-14 16:27:30,670 Stage: Train 0.5 | Epoch: 2 | Iter: 6800 | Total Loss: 0.010317 | Recon Loss: 0.009562 | Commit Loss: 0.001511 | Perplexity: 639.473483
2025-09-14 16:27:38,908 Stage: Train 0.5 | Epoch: 2 | Iter: 7000 | Total Loss: 0.009919 | Recon Loss: 0.009160 | Commit Loss: 0.001519 | Perplexity: 638.150497
2025-09-14 16:27:47,396 Stage: Train 0.5 | Epoch: 2 | Iter: 7200 | Total Loss: 0.009770 | Recon Loss: 0.009043 | Commit Loss: 0.001454 | Perplexity: 639.755064
2025-09-14 16:27:55,485 Stage: Train 0.5 | Epoch: 2 | Iter: 7400 | Total Loss: 0.009034 | Recon Loss: 0.008281 | Commit Loss: 0.001507 | Perplexity: 642.205006
2025-09-14 16:28:03,601 Stage: Train 0.5 | Epoch: 2 | Iter: 7600 | Total Loss: 0.009445 | Recon Loss: 0.008742 | Commit Loss: 0.001406 | Perplexity: 646.740189
2025-09-14 16:28:11,716 Stage: Train 0.5 | Epoch: 2 | Iter: 7800 | Total Loss: 0.009302 | Recon Loss: 0.008588 | Commit Loss: 0.001428 | Perplexity: 653.049577
2025-09-14 16:28:19,840 Stage: Train 0.5 | Epoch: 2 | Iter: 8000 | Total Loss: 0.009093 | Recon Loss: 0.008400 | Commit Loss: 0.001386 | Perplexity: 656.530827
2025-09-14 16:28:27,929 Stage: Train 0.5 | Epoch: 2 | Iter: 8200 | Total Loss: 0.008709 | Recon Loss: 0.008016 | Commit Loss: 0.001386 | Perplexity: 658.123064
2025-09-14 16:28:35,981 Stage: Train 0.5 | Epoch: 2 | Iter: 8400 | Total Loss: 0.008617 | Recon Loss: 0.007927 | Commit Loss: 0.001381 | Perplexity: 659.996388
2025-09-14 16:28:44,091 Stage: Train 0.5 | Epoch: 2 | Iter: 8600 | Total Loss: 0.008623 | Recon Loss: 0.007938 | Commit Loss: 0.001370 | Perplexity: 661.314899
2025-09-14 16:28:52,199 Stage: Train 0.5 | Epoch: 2 | Iter: 8800 | Total Loss: 0.008497 | Recon Loss: 0.007799 | Commit Loss: 0.001397 | Perplexity: 665.063608
2025-09-14 16:29:00,316 Stage: Train 0.5 | Epoch: 2 | Iter: 9000 | Total Loss: 0.008441 | Recon Loss: 0.007729 | Commit Loss: 0.001424 | Perplexity: 658.900834
Trainning Epoch:   2%|▏         | 3/165 [06:15<5:37:15, 124.91s/it]2025-09-14 16:29:08,455 Stage: Train 0.5 | Epoch: 3 | Iter: 9200 | Total Loss: 0.008379 | Recon Loss: 0.007672 | Commit Loss: 0.001413 | Perplexity: 660.992880
2025-09-14 16:29:16,581 Stage: Train 0.5 | Epoch: 3 | Iter: 9400 | Total Loss: 0.008439 | Recon Loss: 0.007746 | Commit Loss: 0.001387 | Perplexity: 661.352054
2025-09-14 16:29:24,708 Stage: Train 0.5 | Epoch: 3 | Iter: 9600 | Total Loss: 0.008230 | Recon Loss: 0.007536 | Commit Loss: 0.001388 | Perplexity: 663.379979
2025-09-14 16:29:32,850 Stage: Train 0.5 | Epoch: 3 | Iter: 9800 | Total Loss: 0.008036 | Recon Loss: 0.007331 | Commit Loss: 0.001410 | Perplexity: 661.604059
2025-09-14 16:29:41,001 Stage: Train 0.5 | Epoch: 3 | Iter: 10000 | Total Loss: 0.008066 | Recon Loss: 0.007363 | Commit Loss: 0.001406 | Perplexity: 664.723429
2025-09-14 16:29:49,132 Stage: Train 0.5 | Epoch: 3 | Iter: 10200 | Total Loss: 0.008095 | Recon Loss: 0.007396 | Commit Loss: 0.001399 | Perplexity: 665.240540
2025-09-14 16:29:57,276 Stage: Train 0.5 | Epoch: 3 | Iter: 10400 | Total Loss: 0.008001 | Recon Loss: 0.007292 | Commit Loss: 0.001418 | Perplexity: 667.218054
2025-09-14 16:30:05,420 Stage: Train 0.5 | Epoch: 3 | Iter: 10600 | Total Loss: 0.007913 | Recon Loss: 0.007207 | Commit Loss: 0.001413 | Perplexity: 669.296649
2025-09-14 16:30:13,564 Stage: Train 0.5 | Epoch: 3 | Iter: 10800 | Total Loss: 0.007804 | Recon Loss: 0.007105 | Commit Loss: 0.001399 | Perplexity: 670.986730
2025-09-14 16:30:21,708 Stage: Train 0.5 | Epoch: 3 | Iter: 11000 | Total Loss: 0.007839 | Recon Loss: 0.007155 | Commit Loss: 0.001368 | Perplexity: 668.346992
2025-09-14 16:30:29,869 Stage: Train 0.5 | Epoch: 3 | Iter: 11200 | Total Loss: 0.007638 | Recon Loss: 0.006932 | Commit Loss: 0.001412 | Perplexity: 672.182841
2025-09-14 16:30:38,033 Stage: Train 0.5 | Epoch: 3 | Iter: 11400 | Total Loss: 0.007557 | Recon Loss: 0.006859 | Commit Loss: 0.001397 | Perplexity: 673.493683
2025-09-14 16:30:46,171 Stage: Train 0.5 | Epoch: 3 | Iter: 11600 | Total Loss: 0.007538 | Recon Loss: 0.006821 | Commit Loss: 0.001433 | Perplexity: 674.062068
2025-09-14 16:30:54,313 Stage: Train 0.5 | Epoch: 3 | Iter: 11800 | Total Loss: 0.007455 | Recon Loss: 0.006747 | Commit Loss: 0.001414 | Perplexity: 673.258821
2025-09-14 16:31:02,448 Stage: Train 0.5 | Epoch: 3 | Iter: 12000 | Total Loss: 0.007261 | Recon Loss: 0.006550 | Commit Loss: 0.001421 | Perplexity: 673.006104
Trainning Epoch:   2%|▏         | 4/165 [08:19<5:33:52, 124.43s/it]2025-09-14 16:31:10,576 Stage: Train 0.5 | Epoch: 4 | Iter: 12200 | Total Loss: 0.007442 | Recon Loss: 0.006749 | Commit Loss: 0.001388 | Perplexity: 666.438434
2025-09-14 16:31:18,692 Stage: Train 0.5 | Epoch: 4 | Iter: 12400 | Total Loss: 0.007029 | Recon Loss: 0.006316 | Commit Loss: 0.001426 | Perplexity: 674.543021
2025-09-14 16:31:26,816 Stage: Train 0.5 | Epoch: 4 | Iter: 12600 | Total Loss: 0.007261 | Recon Loss: 0.006561 | Commit Loss: 0.001400 | Perplexity: 670.971932
2025-09-14 16:31:34,940 Stage: Train 0.5 | Epoch: 4 | Iter: 12800 | Total Loss: 0.007327 | Recon Loss: 0.006622 | Commit Loss: 0.001410 | Perplexity: 673.295794
2025-09-14 16:31:43,028 Stage: Train 0.5 | Epoch: 4 | Iter: 13000 | Total Loss: 0.006988 | Recon Loss: 0.006282 | Commit Loss: 0.001412 | Perplexity: 672.335494
2025-09-14 16:31:51,190 Stage: Train 0.5 | Epoch: 4 | Iter: 13200 | Total Loss: 0.006938 | Recon Loss: 0.006230 | Commit Loss: 0.001416 | Perplexity: 671.388742
2025-09-14 16:31:59,296 Stage: Train 0.5 | Epoch: 4 | Iter: 13400 | Total Loss: 0.007023 | Recon Loss: 0.006310 | Commit Loss: 0.001427 | Perplexity: 672.901319
2025-09-14 16:32:07,457 Stage: Train 0.5 | Epoch: 4 | Iter: 13600 | Total Loss: 0.006919 | Recon Loss: 0.006236 | Commit Loss: 0.001365 | Perplexity: 673.053226
2025-09-14 16:32:15,609 Stage: Train 0.5 | Epoch: 4 | Iter: 13800 | Total Loss: 0.006848 | Recon Loss: 0.006140 | Commit Loss: 0.001416 | Perplexity: 672.806501
2025-09-14 16:32:23,757 Stage: Train 0.5 | Epoch: 4 | Iter: 14000 | Total Loss: 0.006854 | Recon Loss: 0.006161 | Commit Loss: 0.001385 | Perplexity: 673.561099
2025-09-14 16:32:31,904 Stage: Train 0.5 | Epoch: 4 | Iter: 14200 | Total Loss: 0.007127 | Recon Loss: 0.006430 | Commit Loss: 0.001394 | Perplexity: 672.481013
2025-09-14 16:32:40,044 Stage: Train 0.5 | Epoch: 4 | Iter: 14400 | Total Loss: 0.006764 | Recon Loss: 0.006065 | Commit Loss: 0.001397 | Perplexity: 673.721930
2025-09-14 16:32:48,220 Stage: Train 0.5 | Epoch: 4 | Iter: 14600 | Total Loss: 0.006556 | Recon Loss: 0.005872 | Commit Loss: 0.001368 | Perplexity: 674.274752
2025-09-14 16:32:56,372 Stage: Train 0.5 | Epoch: 4 | Iter: 14800 | Total Loss: 0.006685 | Recon Loss: 0.005995 | Commit Loss: 0.001380 | Perplexity: 673.775438
2025-09-14 16:33:04,524 Stage: Train 0.5 | Epoch: 4 | Iter: 15000 | Total Loss: 0.006562 | Recon Loss: 0.005863 | Commit Loss: 0.001399 | Perplexity: 674.487502
Trainning Epoch:   3%|▎         | 5/165 [10:22<5:31:01, 124.13s/it]2025-09-14 16:33:12,648 Stage: Train 0.5 | Epoch: 5 | Iter: 15200 | Total Loss: 0.006553 | Recon Loss: 0.005865 | Commit Loss: 0.001377 | Perplexity: 674.232873
2025-09-14 16:33:20,816 Stage: Train 0.5 | Epoch: 5 | Iter: 15400 | Total Loss: 0.006697 | Recon Loss: 0.005997 | Commit Loss: 0.001401 | Perplexity: 675.918085
2025-09-14 16:33:28,925 Stage: Train 0.5 | Epoch: 5 | Iter: 15600 | Total Loss: 0.006516 | Recon Loss: 0.005829 | Commit Loss: 0.001374 | Perplexity: 675.062879
2025-09-14 16:33:37,028 Stage: Train 0.5 | Epoch: 5 | Iter: 15800 | Total Loss: 0.006760 | Recon Loss: 0.006080 | Commit Loss: 0.001361 | Perplexity: 675.290242
2025-09-14 16:33:45,141 Stage: Train 0.5 | Epoch: 5 | Iter: 16000 | Total Loss: 0.006388 | Recon Loss: 0.005710 | Commit Loss: 0.001355 | Perplexity: 677.262443
2025-09-14 16:33:53,262 Stage: Train 0.5 | Epoch: 5 | Iter: 16200 | Total Loss: 0.006536 | Recon Loss: 0.005846 | Commit Loss: 0.001381 | Perplexity: 676.624701
2025-09-14 16:34:01,373 Stage: Train 0.5 | Epoch: 5 | Iter: 16400 | Total Loss: 0.006265 | Recon Loss: 0.005566 | Commit Loss: 0.001397 | Perplexity: 677.027305
2025-09-14 16:34:09,474 Stage: Train 0.5 | Epoch: 5 | Iter: 16600 | Total Loss: 0.006417 | Recon Loss: 0.005744 | Commit Loss: 0.001347 | Perplexity: 674.015933
2025-09-14 16:34:17,580 Stage: Train 0.5 | Epoch: 5 | Iter: 16800 | Total Loss: 0.006293 | Recon Loss: 0.005606 | Commit Loss: 0.001373 | Perplexity: 680.180435
2025-09-14 16:34:25,702 Stage: Train 0.5 | Epoch: 5 | Iter: 17000 | Total Loss: 0.006347 | Recon Loss: 0.005668 | Commit Loss: 0.001359 | Perplexity: 676.989356
2025-09-14 16:34:33,809 Stage: Train 0.5 | Epoch: 5 | Iter: 17200 | Total Loss: 0.006358 | Recon Loss: 0.005692 | Commit Loss: 0.001334 | Perplexity: 679.334819
2025-09-14 16:34:41,915 Stage: Train 0.5 | Epoch: 5 | Iter: 17400 | Total Loss: 0.006270 | Recon Loss: 0.005610 | Commit Loss: 0.001321 | Perplexity: 674.288261
2025-09-14 16:34:50,045 Stage: Train 0.5 | Epoch: 5 | Iter: 17600 | Total Loss: 0.006268 | Recon Loss: 0.005580 | Commit Loss: 0.001377 | Perplexity: 678.739187
2025-09-14 16:34:58,216 Stage: Train 0.5 | Epoch: 5 | Iter: 17800 | Total Loss: 0.006059 | Recon Loss: 0.005394 | Commit Loss: 0.001330 | Perplexity: 673.414729
2025-09-14 16:35:06,425 Stage: Train 0.5 | Epoch: 5 | Iter: 18000 | Total Loss: 0.006487 | Recon Loss: 0.005810 | Commit Loss: 0.001354 | Perplexity: 675.302409
2025-09-14 16:35:14,627 Stage: Train 0.5 | Epoch: 5 | Iter: 18200 | Total Loss: 0.006191 | Recon Loss: 0.005522 | Commit Loss: 0.001337 | Perplexity: 672.062095
Trainning Epoch:   4%|▎         | 6/165 [12:26<5:28:24, 123.93s/it]2025-09-14 16:35:22,792 Stage: Train 0.5 | Epoch: 6 | Iter: 18400 | Total Loss: 0.005942 | Recon Loss: 0.005259 | Commit Loss: 0.001366 | Perplexity: 675.182280
2025-09-14 16:35:30,936 Stage: Train 0.5 | Epoch: 6 | Iter: 18600 | Total Loss: 0.006242 | Recon Loss: 0.005582 | Commit Loss: 0.001320 | Perplexity: 673.862408
2025-09-14 16:35:39,064 Stage: Train 0.5 | Epoch: 6 | Iter: 18800 | Total Loss: 0.005930 | Recon Loss: 0.005242 | Commit Loss: 0.001377 | Perplexity: 677.270206
2025-09-14 16:35:47,193 Stage: Train 0.5 | Epoch: 6 | Iter: 19000 | Total Loss: 0.006027 | Recon Loss: 0.005334 | Commit Loss: 0.001387 | Perplexity: 675.297614
2025-09-14 16:35:55,292 Stage: Train 0.5 | Epoch: 6 | Iter: 19200 | Total Loss: 0.006095 | Recon Loss: 0.005425 | Commit Loss: 0.001340 | Perplexity: 676.094938
2025-09-14 16:36:03,397 Stage: Train 0.5 | Epoch: 6 | Iter: 19400 | Total Loss: 0.006080 | Recon Loss: 0.005407 | Commit Loss: 0.001345 | Perplexity: 673.255389
2025-09-14 16:36:11,509 Stage: Train 0.5 | Epoch: 6 | Iter: 19600 | Total Loss: 0.005919 | Recon Loss: 0.005238 | Commit Loss: 0.001363 | Perplexity: 673.646030
2025-09-14 16:36:19,588 Stage: Train 0.5 | Epoch: 6 | Iter: 19800 | Total Loss: 0.006162 | Recon Loss: 0.005485 | Commit Loss: 0.001353 | Perplexity: 672.719894
2025-09-14 16:36:27,704 Stage: Train 0.5 | Epoch: 6 | Iter: 20000 | Total Loss: 0.006035 | Recon Loss: 0.005364 | Commit Loss: 0.001343 | Perplexity: 670.221254
2025-09-14 16:36:27,704 Saving model at iteration 20000
2025-09-14 16:36:27,852 Saving current state to vqvae_experiment/h36m_j3d_f16s1_cb2048x1024/models/checkpoint_epoch_7_step_20000
2025-09-14 16:36:27,997 Model weights saved in vqvae_experiment/h36m_j3d_f16s1_cb2048x1024/models/checkpoint_epoch_7_step_20000/pytorch_model.bin
2025-09-14 16:36:28,241 Optimizer state saved in vqvae_experiment/h36m_j3d_f16s1_cb2048x1024/models/checkpoint_epoch_7_step_20000/optimizer.bin
2025-09-14 16:36:28,241 Scheduler state saved in vqvae_experiment/h36m_j3d_f16s1_cb2048x1024/models/checkpoint_epoch_7_step_20000/scheduler.bin
2025-09-14 16:36:28,242 Random states saved in vqvae_experiment/h36m_j3d_f16s1_cb2048x1024/models/checkpoint_epoch_7_step_20000/random_states_0.pkl
2025-09-14 16:36:36,740 Stage: Train 0.5 | Epoch: 6 | Iter: 20200 | Total Loss: 0.005861 | Recon Loss: 0.005180 | Commit Loss: 0.001362 | Perplexity: 674.903520
2025-09-14 16:36:44,857 Stage: Train 0.5 | Epoch: 6 | Iter: 20400 | Total Loss: 0.005986 | Recon Loss: 0.005318 | Commit Loss: 0.001336 | Perplexity: 672.064240
2025-09-14 16:36:53,000 Stage: Train 0.5 | Epoch: 6 | Iter: 20600 | Total Loss: 0.005914 | Recon Loss: 0.005252 | Commit Loss: 0.001324 | Perplexity: 673.173047
2025-09-14 16:37:01,124 Stage: Train 0.5 | Epoch: 6 | Iter: 20800 | Total Loss: 0.005955 | Recon Loss: 0.005284 | Commit Loss: 0.001341 | Perplexity: 671.464758
2025-09-14 16:37:09,200 Stage: Train 0.5 | Epoch: 6 | Iter: 21000 | Total Loss: 0.005914 | Recon Loss: 0.005242 | Commit Loss: 0.001345 | Perplexity: 673.103264
2025-09-14 16:37:17,295 Stage: Train 0.5 | Epoch: 6 | Iter: 21200 | Total Loss: 0.005701 | Recon Loss: 0.005021 | Commit Loss: 0.001362 | Perplexity: 671.355369
Trainning Epoch:   4%|▍         | 7/165 [14:30<5:26:42, 124.06s/it]2025-09-14 16:37:25,513 Stage: Train 0.5 | Epoch: 7 | Iter: 21400 | Total Loss: 0.005995 | Recon Loss: 0.005320 | Commit Loss: 0.001348 | Perplexity: 668.610845
2025-09-14 16:37:33,612 Stage: Train 0.5 | Epoch: 7 | Iter: 21600 | Total Loss: 0.005816 | Recon Loss: 0.005135 | Commit Loss: 0.001363 | Perplexity: 673.287719
2025-09-14 16:37:41,783 Stage: Train 0.5 | Epoch: 7 | Iter: 21800 | Total Loss: 0.006006 | Recon Loss: 0.005334 | Commit Loss: 0.001344 | Perplexity: 671.379098
2025-09-14 16:37:49,993 Stage: Train 0.5 | Epoch: 7 | Iter: 22000 | Total Loss: 0.005857 | Recon Loss: 0.005189 | Commit Loss: 0.001336 | Perplexity: 670.197996
2025-09-14 16:37:58,300 Stage: Train 0.5 | Epoch: 7 | Iter: 22200 | Total Loss: 0.005738 | Recon Loss: 0.005079 | Commit Loss: 0.001318 | Perplexity: 670.331687
2025-09-14 16:38:06,600 Stage: Train 0.5 | Epoch: 7 | Iter: 22400 | Total Loss: 0.005665 | Recon Loss: 0.004986 | Commit Loss: 0.001357 | Perplexity: 673.833038
2025-09-14 16:38:14,842 Stage: Train 0.5 | Epoch: 7 | Iter: 22600 | Total Loss: 0.005808 | Recon Loss: 0.005122 | Commit Loss: 0.001371 | Perplexity: 669.784068
2025-09-14 16:38:22,936 Stage: Train 0.5 | Epoch: 7 | Iter: 22800 | Total Loss: 0.005679 | Recon Loss: 0.004998 | Commit Loss: 0.001362 | Perplexity: 667.328852
2025-09-14 16:38:31,050 Stage: Train 0.5 | Epoch: 7 | Iter: 23000 | Total Loss: 0.005650 | Recon Loss: 0.004957 | Commit Loss: 0.001387 | Perplexity: 671.811671
2025-09-14 16:38:39,169 Stage: Train 0.5 | Epoch: 7 | Iter: 23200 | Total Loss: 0.005880 | Recon Loss: 0.005202 | Commit Loss: 0.001355 | Perplexity: 668.196506
2025-09-14 16:38:47,273 Stage: Train 0.5 | Epoch: 7 | Iter: 23400 | Total Loss: 0.005708 | Recon Loss: 0.005039 | Commit Loss: 0.001337 | Perplexity: 666.863494
2025-09-14 16:38:55,381 Stage: Train 0.5 | Epoch: 7 | Iter: 23600 | Total Loss: 0.005770 | Recon Loss: 0.005097 | Commit Loss: 0.001344 | Perplexity: 668.956364
2025-09-14 16:39:03,476 Stage: Train 0.5 | Epoch: 7 | Iter: 23800 | Total Loss: 0.005539 | Recon Loss: 0.004852 | Commit Loss: 0.001373 | Perplexity: 670.358838
2025-09-14 16:39:11,586 Stage: Train 0.5 | Epoch: 7 | Iter: 24000 | Total Loss: 0.005770 | Recon Loss: 0.005096 | Commit Loss: 0.001348 | Perplexity: 667.115131
